"State","Facility Name","Facility ID","Year","Gross Load (MWh)","Steam Load (1000 lb)","SO2 Mass (short tons)","CO2 Mass (short tons)","NOx Mass (short tons)","Heat Input (mmBtu)"
"AL","Barry",3,2012,5742904.5,,10713.473,5992011.15,5222.99,58401720.35
"AL","Gadsden",7,2012,,2536106.25,943.012,218510.225,290.65,3087112.45
"AL","Gorgas",8,2012,3357289.25,,3220.224,3239325.527,3260.21,31572418.975
"AL","Greene County",10,2012,2184540.75,,32459.579,2370851.451,4509.087,23107776.825
"AL","E C Gaston",26,2012,8757199,,57832.574,8966433.575,12817.146,87392339.625
"AL","Colbert",47,2012,3682423.83,,12856.403,3718101.785,6524.471,35980144.396
"AL","Widows Creek",50,2012,4791280.75,,6320.523,4997647.15,1555.64,48710049.25
"LA","Dolet Hills Power Station",51,2012,4991767.84,,20887.276,5678438.025,4940.73,52157338.15
"AL","Charles R Lowman",56,2012,2119928.08,,3618.979,2326098.159,2361.947,22671589.201
"NE","Platte",59,2012,490708.08,,1813.209,587336.647,923.335,5600123.183
"NE","Gerald Whelan Energy Center",60,2012,1505420.93,,2133.036,1596948.091,901.774,15226411.546
"NM","Escalante",87,2012,1208594.4,,789.131,1383242.059,2264.516,13188845.443
"KS","Holcomb",108,2012,2141507.66,,1053.367,2154747.243,1756.669,20544889.739
"AZ","Cholla",113,2012,7702659.35,,6174.045,8468675.828,9299.567,82540692.896
"AZ","Irvington Generating Station",126,2012,549288.19,,371.363,432626.824,944.93,6313719.36
"TX","Oklaunion Power Station",127,2012,3344170.34,,3641.623,3614819.618,5530.165,34466254.457
"SC","Cross",130,2012,13905798.47,,8018.414,14130509.429,4350.079,137724340.524
"FL","Seminole (136)",136,2012,8156590.49,,13760.777,7532424.151,1853.695,73415439.39
"AZ","Apache Station",160,2012,1822065.23,,1626.953,1850014.692,3082.634,19716888.352
"OK","Grand River Dam Authority",165,2012,5437272.51,,14946.259,6448235.159,12498.007,62975702.699
"FL","St. Johns River Power",207,2012,6689841.29,,12798.554,6858097.592,12869.256,66854387.693
"TX","Limestone",298,2012,12252756.5,,20671.259,12537785.652,11230.037,115179887.527
"IL","Joliet 29",384,2012,5439094.25,,11148.846,5948570.326,2664.615,56077853.3
"CO","Arapahoe",465,2012,875204.66,,2448.905,1132490.34,2231.701,10797997.847
"CO","Cherokee",469,2012,3347122.16,,3253.99,3357484.903,5050.694,32843206.199
"CO","Comanche (470)",470,2012,9925586.35,,3378.991,9713562.19,5035.265,93141120.103
"CO","Valmont",477,2012,1077964.11,,766.418,1197772.841,1902.745,11674172.766
"CO","Martin Drake",492,2012,1523702.26,,4791.928,1771789.153,2866.503,16962600.235
"CO","Lamar",508,2012,,,,,,
"CO","Hayden",525,2012,2702808.92,,1818.832,2897174.089,5128.838,28245660.967
"CO","Nucla",527,2012,628041.18,,1135.946,736317.264,1054.372,7181280.248
"FL","Curtis H. Stanton Energy Center",564,2012,3413211.62,,1978.066,3314876.572,3185.039,33359099.693
"CT","Bridgeport Harbor Station",568,2012,129294.56,,144.859,156454.144,106.006,1491744.004
"DE","Indian River",594,2012,1607482.75,,2596.55,1502778.75,750.544,14646986
"MD","Brandon Shores",602,2012,5266370.81,,2848.128,5322511.886,4139.641,51876285.952
"FL","Crystal River",628,2012,10993173.89,,26667.662,11507532.502,7717.453,112159158.585
"FL","Gulf Clean Energy Center",641,2012,3178090,,942.242,3519887.648,2605.072,34898320.775
"FL","Scholz Electric Generating Plant",642,2012,6976,,156.954,9546.875,23.347,93062.375
"FL","Lansing Smith Generating Plant",643,2012,909521.75,,5220.62,925492.202,1729.553,9020459.95
"FL","Big Bend",645,2012,10274710.75,,9157.722,11346987.4,4774.355,110594509.25
"FL","Deerhaven",663,2012,1022365.5,,1176.629,956165.475,279.39,9328342.275
"FL","Northside",667,2012,967754.53,,888.751,1110939.708,258.3,10951579.111
"FL","C D McIntosh Jr Power Plant",676,2012,1398640.59,,5145.26,1595417.995,1616.176,15549946.746
"GA","Bowen",703,2012,10426188,,3118.548,10532521.65,4651.116,102656193.675
"GA","Hammond",708,2012,1582347,,978.267,1745474.743,1917.191,17018635.95
"GA","Harllee Branch",709,2012,2285230.5,,20984.276,2359260.875,4810.606,22994773.675
"GA","Jack McDonough",710,2012,52238.5,,398.33,55048,62.561,537257.575
"GA","Mitchell (GA)",727,2012,3281,,39.185,3587.95,10.187,34974.025
"GA","Yates",728,2012,2589660.25,,29789.829,2644256.201,3764.545,25772613.975
"GA","Kraft",733,2012,683231,,1190.122,515326.28,920.183,5022706.2
"IL","E D Edwards",856,2012,4594203.61,,11802.717,4635705.654,3309.329,44200087.694
"IL","Coffeen",861,2012,5565493.81,,103.296,5680242.971,1973.551,54159484.31
"IL","Crawford",867,2012,1390640.25,,3747.171,1659475.925,783.42,15682872.45
"IL","Joliet 9",874,2012,1104453,,2210.477,1178162.75,683.824,11136574.825
"IL","Kincaid Generating Station",876,2012,5652303.81,,12155.224,5960453.625,10559.754,56831348.32
"IL","Powerton",879,2012,8821734.75,,21083.153,9862840.268,4659.537,92679299.325
"IL","Waukegan",883,2012,3596551.75,,7261.995,3801124.55,2019.136,35935258.2
"IL","Will County",884,2012,3477332,,8285.035,3896166.95,1480.405,36749407.225
"IL","Fisk",886,2012,970177,,2200.761,1053954.575,599.081,9984035.625
"IL","Joppa Steam",887,2012,7000739.37,,16990.769,7507662.602,4065.484,71583571.452
"IL","Baldwin Energy Complex",889,2012,13240315.32,,10203.708,13703649.025,5109.163,130660329.776
"IL","Havana",891,2012,3023729.33,,5814.238,3456597.838,1219.09,32957601.915
"IL","Hennepin Power Station",892,2012,2323325.68,,5905.88,2470683.115,1694.019,23559781.295
"IL","Wood River Power Station",898,2012,2933949.07,,6755.683,2978532.812,1997.426,28400397.492
