State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
AL,Barry,3,2022,3911242.75,,1331.47,4037549.175,1635.388,39895820.18
AL,E C Gaston,26,2022,4435001,,1154.597,3823447.102,2521.913,47048062.33
NE,Platte,59,2022,492679.3,,451.58,602654.142,533.852,5746158.28
NE,Gerald Whelan Energy Center,60,2022,1732258.67,,2670.377,1701382.015,957.77,16222195.58
KS,Holcomb,108,2022,1823357.32,,1254.004,1824554.357,1701.233,17396628.97
AZ,Cholla,113,2022,2559928.09,,1158.257,2957243.615,2581.756,28823090.75
SC,Cross,130,2022,8304369.02,,2904.216,8411604.617,2902.086,81984525.52
FL,Seminole (136),136,2022,6556721.03,,4942.124,6354375.84,1924.43,61933564.35
AZ,Apache Station,160,2022,1349027.05,,290.277,1402163.646,1524.79,14300371.59
OK,Grand River Dam Authority,165,2022,1511178.47,,1403.906,1804932.067,1328.25,17352239.98
TX,Limestone,298,2022,7960767.63,,6336.996,8453804.918,7069.352,80651226.48
CO,Comanche (470),470,2022,6360661.54,,2688.906,6642118.755,3364.001,64057588.41
CO,Hayden,525,2022,3263658.57,,1971.459,3385128.444,862.247,32993464.15
FL,Curtis H. Stanton Energy Center,564,2022,4337311.68,,1476.58,4143686.138,4204.28,44125613.09
DE,Indian River,594,2022,159988.33,,388.193,169755.446,80.717,1654533.968
MD,Brandon Shores,602,2022,2421014.04,,1045.094,2426032.543,1063.308,23645547.9
FL,Crystal River,628,2022,4923991.21,,3037.595,5028721.985,2320.802,49012904.42
FL,Big Bend,645,2022,2098782.93,,1020.444,1902211.773,882.045,21940323.33
FL,Deerhaven,663,2022,595045.74,,129.281,405697.275,382.468,6526914.996
FL,Northside,667,2022,1799026.66,,1385.732,1886992.739,441.24,18561565.55
GA,Bowen,703,2022,9306554.71,,5508.348,9260206.08,5276.626,90255474.62
IL,E D Edwards,856,2022,2915682.04,,6698.223,2885598.824,2103.027,27513395.88
IL,Kincaid Generating Station,876,2022,3980750.25,,1783.96,4106612.412,721.593,39155351.47
IL,Powerton,879,2022,5579731.54,,3065.46,6314958.238,3102.933,59372778.01
IL,Waukegan,883,2022,1351242.5,,799.807,1522038.975,802.768,14391486.85
IL,Will County,884,2022,347419.5,,274.307,392017.975,198.353,3711569.8
IL,Joppa Steam,887,2022,3948986.91,,10982.309,4254759.286,2341.531,40576455.1
IL,Baldwin Energy Complex,889,2022,6541375.57,,2385.534,6583248.854,2312.034,62769430.71
IL,Dallman,963,2022,1426282.78,,424.809,1369679.873,416.756,13388081.85
IL,Marion,976,2022,743856.32,,2805.64,1151210.789,446.793,10885021.64
IN,Clifty Creek,983,2022,6448557.93,,3506.609,6494364.826,4548.161,63297933.36
IN,IPL - Petersburg Generating Station,994,2022,8885399.15,,5398.339,8783213.8,5072.999,85606365.69
IN,Michigan City Generating Station,997,2022,1577096.61,,685.219,1635741.067,716.103,15596291.6
IN,Cayuga,1001,2022,4837186.73,,1665.914,4654227.431,4272.187,45362856.88
IN,Edwardsport Generating Station,1004,2022,3579724.67,,56.431,3480710.922,826.598,29133197.98
IN,F B Culley Generating Station,1012,2022,944097.51,,596.645,1157672.509,1004.852,11316006.38
IN,Whitewater Valley,1040,2022,60380.03,,877.001,72764.807,132.661,709197.875
IA,Lansing,1047,2022,1098989.73,,302.715,1197334.34,242.571,11421565.04
IA,Prairie Creek,1073,2022,,1823505.96,832.271,320268.041,467.893,3061096.47
IA,Walter Scott Jr. Energy Center,1082,2022,7170564.2,,9028.408,7212628.082,5333.128,68770271.89
IA,George Neal North,1091,2022,771839.64,,1337.584,799269.755,1049.202,7620800.897
IA,Streeter Station,1131,2022,8032.1,,2.977,7859.79,18.078,129589.101
IA,Muscatine,1167,2022,1124679.6,,1387.032,1372093.731,2508.47,13082541.58
KS,La Cygne,1241,2022,7190891.93,,812.18,7339497.925,3102.945,69988832.04
KS,Lawrence Energy Center,1250,2022,2181340.37,,222.865,2399064.888,1425.628,22923602.38
KY,E W Brown,1355,2022,1135317.4,,362.917,1233401.955,287.147,12021482.8
KY,Ghent,1356,2022,11053193.03,,10675.048,10811976.73,6130.567,105379877.3
KY,Mill Creek,1364,2022,8031098.09,,3169.499,7726436.78,5392.369,75400787.26
KY,Shawnee,1379,2022,6575466.63,,14325.609,7506716.826,7224.518,71574366.28
KY,John S. Cooper,1384,2022,615855.12,,154.835,611761.573,380.939,5962589.458
LA,R S Nelson,1393,2022,2179774.41,,6208.95,2650638.589,2343.86,25273027.56
MD,Herbert A Wagner,1554,2022,114708.79,,457.402,150661.214,40.811,1468423.683
MD,Morgantown,1573,2022,1347176.51,,725.051,1382789.087,320.199,13477470.79
MI,Dan E Karn,1702,2022,3190948.98,,922.391,3439512.413,1000.294,32794707.46
MI,J H Campbell,1710,2022,8266123.24,,5520.355,8529968.648,3026.739,81330713.73
MI,Monroe,1733,2022,16587484.86,,3582.748,16290016.05,4899.627,155278233.3
MI,St. Clair,1743,2022,1821189.27,,6272.805,1865904.41,1761.001,17790846.22
MI,Trenton Channel,1745,2022,,4150830.08,2428.458,682270.197,503.56,6505255.917
MI,Erickson,1832,2022,849235.47,,2755.5,1107167.047,788.078,10556537.85
MN,Boswell Energy Center,1893,2022,5597906,,604.92,5877963.544,2478.537,56408179.67
MN,Hibbard Energy Center,1897,2022,,1513374.84,120.506,274449.02,437.223,2634613.962
MN,Allen S King,1915,2022,1327411.15,,738.52,1383767.701,636.239,13193817.21
MO,Hawthorn,2079,2022,3335818.62,,1352.122,3405038.214,1169.612,32641184.01
MO,Labadie,2103,2022,17302963.08,,44265.462,17346252.94,7762.993,165391364.8
MO,Meramec,2104,2022,125621.05,,308.743,137860.622,91.483,1314464.218
MO,Sioux,2107,2022,3993104.29,,1676.355,4214540.54,4959.588,40184436.24
MO,Columbia,2123,2022,,,,,,
MO,New Madrid Power Plant,2167,2022,8060449.83,,13761.514,7459851.541,15425.54,71127571.94
MO,Thomas Hill Energy Center,2168,2022,7343771.98,,13533.66,7689857.89,10321.223,73323346.49
NE,Lon D Wright Power Plant,2240,2022,328828.7,,585.497,341571.67,385.582,3431076.76
NE,Sheldon,2277,2022,1132945.06,,3318.469,1237653.973,2897.207,11800725.15
NE,North Omaha Station,2291,2022,1859621.41,,5478.736,2020460.89,2894.694,19287688.7
NH,Merrimack,2364,2022,345762.14,,110.426,363457.28,417.523,3542467.982
NH,Schiller,2367,2022,,,,,,
NM,Four Corners Steam Elec Station,2442,2022,11066267.74,,2112.93,10729005.01,3523.338,104571184.4
NM,San Juan,2451,2022,3502290.41,,604.18,4066777.797,4335.693,38777954.29
NY,"Cayuga Operating Company, LLC",2535,2022,,,,,,
NC,Roxboro,2712,2022,3345615.65,19700697.48,3702.689,5908719.737,4707.472,57652933.78
NC,G G Allen,2718,2022,286467.06,,32.321,328770.566,449.897,3204409.665
NC,Cliffside,2721,2022,5472445.7,,454.921,3372097.124,1735.19,47953925.42
NC,Marshall,2727,2022,7733961.01,,1674.452,5775498.305,6341.792,73142858.6
