State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
AL,Barry,3,2022,12334645.5,,1349.396,7588387.1,1941.88,99645513.38
AL,Gadsden,7,2022,,13256,0.006,1246.25,0.779,20971
TX,Copper Station,9,2022,47450.37,,,,88.293,851914.95
AL,Greene County,10,2022,1325588,,12.048,817274.851,850.933,13512931.73
AL,E C Gaston,26,2022,4435001,,1154.597,3823447.102,2521.913,47048062.33
AL,Colbert,47,2022,38946,,6.158,31752.6,106.6,529235.7
KY,Smith Generating Facility,54,2022,711639.44,,4.371,533966.872,187.881,8926540.671
AZ,Ocotillo Power Plant,116,2022,770772.67,,2.145,425043.506,30.281,7152196.551
AZ,APS West Phoenix Power Plant,117,2022,1892985.92,,4.305,852722.408,119.792,14348724.95
AZ,APS Saguaro Power Plant,118,2022,61337.17,,0.245,48566.539,14.916,817222.258
AZ,Yucca Power Plant,120,2022,274612.51,,0.9,178220.985,77.803,2998823.836
AZ,De Moss Petrie Generating Station,124,2022,972.1,,0.024,802.621,0.311,13505.707
AZ,Irvington Generating Station,126,2022,594004.94,,11.206,380534.837,479.448,6403294.199
AZ,Agua Fria Generating Station,141,2022,139824.84,,0.448,88628.676,202.076,1491374.789
AZ,Kyrene Generating Station,147,2022,1282595.11,,2.65,524872.823,42.829,8832022.023
AZ,Apache Station,160,2022,2144586.4,,292.6,1861522.233,1753.877,22046575.54
OK,Grand River Dam Authority,165,2022,3264126.06,,1407.321,2481388.758,1477.028,28734897.48
AR,Lake Catherine,170,2022,221139.44,,0.732,145032.775,281.022,2440465.11
AR,Thomas Fitzhugh,201,2022,489399.68,,6.653,251638.227,159.096,4219094.044
AR,Carl Bailey,202,2022,,,,,,
AR,McClellan,203,2022,,350185.94,83.398,31192.069,82.244,519286.518
CA,Moss Landing Power Plant,260,2022,5215584.91,,11.14,2092342.058,178.855,37132666.55
CA,Cabrillo Power I Encina Power Station,302,2022,356166.09,,1.065,210777.281,13.775,3546606.294
CA,AES Alamitos,315,2022,4213860.27,,9.773,1935817.492,97.988,32573933.86
CA,El Segundo,330,2022,288596.24,,0.732,144861.129,6.386,2437611.966
CA,AES Huntington Beach,335,2022,4128310.67,,8.545,1692618.932,98.979,28481531.93
CA,Long Beach Generating Station,341,2022,15663.36,,0.083,16244.28,3.455,273343.682
CA,"Ormond Beach Power, LLC.",350,2022,315890.55,,1.052,208408.38,14.058,3506866.173
CA,AES Redondo Beach,356,2022,239158,,1.1,217826.5,17.54,3665361.5
CA,Mountainview Generating Station,358,2022,3890699.91,,8.314,1646926.505,81.686,27712676.6
CA,Grayson Power Plant,377,2022,80723.44,,0.304,75898.944,15.108,1280652.621
IL,Joliet 29,384,2022,572854.87,,1.726,341041.518,264.359,5753045.519
CA,El Centro,389,2022,1084794.08,,2.713,537330.099,94.398,9041599.369
CA,Harbor Generating Station,399,2022,129156.99,,0.373,72608.518,11.468,1242653.159
CA,Haynes Generating Station,400,2022,2638026.93,,6.041,1174477.136,65.645,20130552.56
CA,Scattergood Generating Station,404,2022,1940352.9,,4.308,837569.727,41.833,14356018.7
CA,Valley Generating Station,408,2022,2124448.55,,4.47,869217.038,62.885,14898151.25
CA,Glenarm,422,2022,49022.42,,0.147,29770.706,4.974,500949.92
CO,Cherokee,469,2022,3548290.24,,11.364,2260964.95,874.524,38046326.49
CO,Comanche (470),470,2022,6360661.54,,2688.906,6642118.755,3364.001,64057588.41
CO,Martin Drake,492,2022,237899.44,,7.56,156850.304,173.611,2645983.904
CO,Hayden,525,2022,1357681.37,,849.06,1491779.225,383.528,14539762.24
AL,McWilliams,533,2022,2673963.41,,8.488,1679034.028,214.666,28253099.58
CT,Devon,544,2022,8992.36,,1.227,9680.856,38.363,121498.284
CT,Montville,546,2022,56373.4,,65.938,47102.225,35.589,642046.853
CT,Middletown,562,2022,174534.78,,120.086,123661.711,134.925,1769993.146
FL,Curtis H. Stanton Energy Center,564,2022,5959936.7,,1480.413,4902977.83,4229.619,56902089.29
CT,Bridgeport Harbor Station,568,2022,3583156.6,,6.872,1361347.989,68.91,22907338.46
VT,J C McNeil,589,2022,258762.25,,1.101,375580.95,124.132,3585296.175
DE,Edge Moor,593,2022,385751.56,,72.579,261153.517,135.946,4295753.84
WA,Fredonia Generating Station,607,2022,56891.15,,0.392,34872.359,9.682,586161.144
FL,Cape Canaveral,609,2022,5449373.18,,10.528,2079684.463,134.282,34962955.96
FL,Fort Myers,612,2022,10739508.53,,38.398,4430841.015,924.874,74317969.26
FL,Lauderdale,613,2022,4153199.4,,8.445,1654209.043,143.789,27739715.42
FL,Port Everglades,617,2022,7466379.08,,14.092,2789468.954,177.252,46927506.31
FL,Riviera Beach Energy Center,619,2022,6874853,,12.877,2545493.125,173.641,42804804.52
FL,Sanford,620,2022,9308284.55,,19.14,3791175.213,836.076,63793974.52
FL,Turkey Point,621,2022,6489196.63,,13.089,2554497.835,159.446,42968935.22
FL,Crystal River,628,2022,11598089.26,,23.174,4590604.953,2125.218,77245862.26
FL,P L Bartow,634,2022,6740334.3,,14.939,2958247.141,809.618,49521707.46
FL,Gulf Clean Energy Center,641,2022,1709592.1,,5.824,1120164.188,995.582,18669558.09
FL,Lansing Smith Generating Plant,643,2022,4637829.36,,9.737,1928832.237,436.897,32456280.95
FL,Big Bend,645,2022,3545328.87,,1024.01,2608595.939,1175.712,33826602.17
FL,Deerhaven,663,2022,754541.94,,149.416,521089.454,517.372,8460992.888
FL,J R Kelly,664,2022,702431.72,,1.72,340735.622,73.665,5733500.404
FL,J D Kennedy,666,2022,266998.67,,0.892,160805.372,51.864,2694795.49
FL,Northside,667,2022,1852697.36,,281.587,1321764.058,1771.631,22118958.41
FL,Tom G Smith,673,2022,100.54,,0,41.212,0.091,705.658
FL,Charles Larsen Memorial Power Plant,675,2022,158679.57,,0.68,120160.412,58.219,2019207.255
FL,C D McIntosh Jr Power Plant,676,2022,1520649.58,,5.095,1009248.888,221.779,16982281.87
FL,Indian River (683),683,2022,66574.31,,2.479,58608.094,32.443,984615.452
FL,Arvah B Hopkins,688,2022,1420497.96,,11.826,654883.359,90.13,11013481.19
FL,S O Purdom,689,2022,878049.37,,12.68,641779.277,162.296,10791714.36
GA,Jack McDonough,710,2022,18681977.62,,38.319,7366518.537,484.869,123961062
GA,Yates,728,2022,1533449.93,,4.851,960924.17,600.533,16169347.93
OK,Ponca,762,2022,46933.12,,0.124,24559.093,13.999,413257.488
IL,"Grand Tower Energy Center, LLC",862,2022,,,,,,
IL,Joliet 9,874,2022,9890.25,,0.045,10175.358,4.882,171649.699
IL,Joppa Steam,887,2022,2657300.21,,7395.94,2820855.554,1599.837,26904586.87
IL,Venice,913,2022,22497.82,,0.072,14102.818,6.113,237316.824
IL,Dallman,963,2022,1426282.78,,424.809,1369679.873,416.756,13388081.85
IL,Marion,976,2022,98959.34,,4.448,86269.7,25.479,1456049.6
IN,IPL - Harding Street Station (EW Stout),990,2022,1466328.17,,4.873,932533,567.161,15685187.4
IN,IPL - Eagle Valley Generating Station,991,2022,4410612.17,,8.458,1675443.892,73.032,28192587.59
IN,C. C. Perry K Steam Plant,992,2022,,2331902.03,,52377.27,327.931,3440570.938
IN,Cayuga,1001,2022,13118.76,,0.055,10122.925,4.415,169954.38
IN,Edwardsport Generating Station,1004,2022,3579724.67,,56.431,3480710.922,826.598,29133197.98
IN,Noblesville,1007,2022,1104991.41,,3.472,687879.003,150.089,11574676.1
NC,Butler-Warner Generation Plant,1016,2022,41554,,0.273,,101.996,649447.1
IA,Marshalltown CTs,1068,2022,70908.2,,0.288,,119.093,963107.683
IA,Prairie Creek,1073,2022,,2110519.15,845.61,350740.027,537.5,3575151.646
IA,George Neal North,1091,2022,771839.64,,1337.584,799269.755,1049.202,7620800.897
IA,Burlington (IA),1104,2022,30224.33,,0.096,19137.029,12.2,322828.018
IA,Ames,1122,2022,349609.29,,26.336,271245.602,269.825,4575693.724
IA,Streeter Station,1131,2022,8032.1,,2.977,7859.79,18.078,129589.101
IA,Muscatine,1167,2022,369853.43,,1338.338,480865.375,1879.978,4584922.327
IA,Summit Lake,1206,2022,4517.75,,0.046,4834.7,29.233,80230.3
IA,Earl F Wisdom,1217,2022,4366.92,,0.032,3676.444,2.119,60861.877
KS,Cimarron River,1230,2022,4771.72,,0.018,3475.945,6.877,58475.968
KS,Fort Dodge aka Judson Large,1233,2022,9286.07,,0.033,6458.949,7.27,108688.319
KS,Great Bend Station aka Arthur Mullergren,1235,2022,19268.34,,0.063,12505.911,17.995,210439.875
