State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
AL,Greene County,10,2022,96161.25,,8.383,91150.076,58.6,1294552.525
AL,Colbert,47,2022,38946,,6.158,31752.6,106.6,529235.7
KY,Smith Generating Facility,54,2022,570532.55,,3.98,456632.536,180.451,7625243.901
NE,Platte,59,2022,492679.3,,451.58,602654.142,533.852,5746158.28
AZ,Yucca Power Plant,120,2022,112618.7,,0.403,79780.679,69.247,1342415.267
AZ,Irvington Generating Station,126,2022,175146.98,,3.432,116553.944,152.517,1961282.351
SC,Cross,130,2022,8304369.02,,2904.216,8411604.617,2902.086,81984525.52
FL,Seminole (136),136,2022,6556721.03,,4942.124,6354375.84,1924.43,61933564.35
OK,Grand River Dam Authority,165,2022,1511178.47,,1403.906,1804932.067,1328.25,17352239.98
AR,Thomas Fitzhugh,201,2022,489399.68,,6.653,251638.227,159.096,4219094.044
AR,Carl Bailey,202,2022,,,,,,
AR,McClellan,203,2022,,350185.94,83.398,31192.069,82.244,519286.518
CA,AES Alamitos,315,2022,670618,,2.479,491062.5,32.482,8263096.1
CA,AES Huntington Beach,335,2022,112098,,0.373,73833,11.636,1242383.4
CA,AES Redondo Beach,356,2022,239158,,1.1,217826.5,17.54,3665361.5
CA,Grayson Power Plant,377,2022,54245.06,,0.218,58854.027,12.341,993821.01
CA,El Centro,389,2022,396671.7,,1.152,228200.307,80.9,3839893.748
CA,Harbor Generating Station,399,2022,129156.99,,0.373,72608.518,11.468,1242653.159
CA,Valley Generating Station,408,2022,10205.99,,0.034,6530.09,1.076,111695.931
CO,Hayden,525,2022,3263658.57,,1971.459,3385128.444,862.247,32993464.15
AL,McWilliams,533,2022,309632.43,,1.019,199598.037,74.522,3358626.398
CT,Branford,540,2022,73.6,,,,0.949,2827.5
CT,Cos Cob,542,2022,342.64,,,,4.587,7642.5
CT,Devon,544,2022,9258.9,,1.227,9680.856,42.502,128395.984
CT,Montville,546,2022,112095.66,,174.874,106282.32,92.003,1372779.118
CT,Tunnel,557,2022,52.51,,,,0.234,871.1
CT,Franklin Drive,561,2022,153.92,,,,4.373,7287.5
CT,Middletown,562,2022,242441.14,,256.47,198291.156,206.444,2694548.639
CT,South Meadow Station,563,2022,1720.65,,,2213.1,10.455,27322.5
FL,Curtis H. Stanton Energy Center,564,2022,1622625.02,,3.833,759291.692,25.339,12776476.2
CT,Torrington Terminal,565,2022,58.05,,,,1.193,1987.5
CT,Bridgeport Harbor Station,568,2022,3583156.6,,6.872,1361347.989,68.91,22907338.46
CT,Norwich,581,2022,208.65,,,,2.419,4031.6
VT,J C McNeil,589,2022,258762.25,,1.101,375580.95,124.132,3585296.175
DE,Christiana Substation,591,2022,1659.67,,,2815.7,13.463,34782.9
DE,Delaware City,592,2022,1.85,,,,0.012,102
DE,Edge Moor,593,2022,385962.56,,72.579,261153.517,136.349,4299272.54
DE,Indian River,594,2022,441.86,,,,1.605,13099.1
DE,West Substation,597,2022,58.62,,,,0.132,1187.1
WA,Fredonia Generating Station,607,2022,56891.15,,0.392,34872.359,9.682,586161.144
FL,Cape Canaveral,609,2022,5449373.18,,10.528,2079684.463,134.282,34962955.96
FL,Fort Myers,612,2022,286100.9,,17.035,198891.34,77.578,3107284.809
FL,Lauderdale,613,2022,4153199.4,,8.445,1654209.043,143.789,27739715.42
FL,Port Everglades,617,2022,7466379.08,,14.092,2789468.954,177.252,46927506.31
FL,Riviera Beach Energy Center,619,2022,6874853,,12.877,2545493.125,173.641,42804804.52
FL,Turkey Point,621,2022,6489196.63,,13.089,2554497.835,159.446,42968935.22
FL,P L Bartow,634,2022,6740334.3,,14.939,2958247.141,809.618,49521707.46
FL,Gulf Clean Energy Center,641,2022,323345.8,,1.199,204103.694,68.661,3255415.353
FL,Big Bend,645,2022,4888.29,,0.017,3324.364,2.561,55934.937
FL,Deerhaven,663,2022,159496.2,,20.135,115392.179,134.904,1934077.892
FL,J R Kelly,664,2022,702431.72,,1.72,340735.622,73.665,5733500.404
FL,J D Kennedy,666,2022,266998.67,,0.892,160805.372,51.864,2694795.49
FL,Northside,667,2022,1852697.36,,281.587,1321764.058,1771.631,22118958.41
FL,Tom G Smith,673,2022,100.54,,0,41.212,0.091,705.658
FL,Charles Larsen Memorial Power Plant,675,2022,158679.57,,0.68,120160.412,58.219,2019207.255
FL,C D McIntosh Jr Power Plant,676,2022,46762.24,,0.168,33288.959,25.033,559881.531
FL,Indian River (683),683,2022,66574.31,,2.479,58608.094,32.443,984615.452
FL,Arvah B Hopkins,688,2022,1420497.96,,11.826,654883.359,90.13,11013481.19
FL,S O Purdom,689,2022,878049.37,,12.68,641779.277,162.296,10791714.36
GA,Jack McDonough,710,2022,6202409.5,,13.468,2443567.757,163.897,41122930.72
GA,McManus,715,2022,23934,,79.018,,189.627,316044.9
OK,Ponca,762,2022,35370.88,,0.09,17740.345,9.421,298523.35
IL,Waukegan,883,2022,,,13.547,4391.8,32.512,54188.3
IL,Fisk,886,2022,,,11.194,3625.2,26.86,44767.3
IL,Baldwin Energy Complex,889,2022,6541375.57,,2385.534,6583248.854,2312.034,62769430.71
IL,Venice,913,2022,492.97,,0.002,351.258,0.32,5910.962
IL,Marion,976,2022,98959.34,,4.448,86269.7,25.479,1456049.6
IN,IPL - Harding Street Station (EW Stout),990,2022,114060.26,,0.606,87262.942,114.243,1461953.99
IN,Cayuga,1001,2022,4850305.49,,1665.969,4664350.356,4276.602,45532811.26
NC,Butler-Warner Generation Plant,1016,2022,41554,,0.273,,101.996,649447.1
IN,Whitewater Valley,1040,2022,60380.03,,877.001,72764.807,132.661,709197.875
IA,Walter Scott Jr. Energy Center,1082,2022,4005789.61,,7753.019,4132248.495,4599.107,39399751.76
IA,Muscatine,1167,2022,754826.17,,48.694,891228.356,628.492,8497619.253
IA,Summit Lake,1206,2022,4517.75,,0.046,4834.7,29.233,80230.3
IA,Earl F Wisdom,1217,2022,4366.92,,0.032,3676.444,2.119,60861.877
KS,Gordon Evans Energy Center,1240,2022,193400.59,,2.352,135911.392,43.207,2253050.698
KS,La Cygne,1241,2022,3528333.98,,417.095,3635858.099,1477.549,34675411.82
KS,Hutchinson Energy Center,1248,2022,34625.24,,75.385,,405.509,943712.2
KS,Quindaro,1295,2022,8921.49,,0.169,,137.178,228631.5
KS,McPherson 2,1305,2022,32923.46,,0.285,,99.712,588445
KY,Robert Reid,1383,2022,1378,,0.634,,7.393,21123.7
LA,Louisiana 1,1391,2022,2970520.25,,4.802,658612.18,446.547,11082393.92
LA,R S Nelson,1393,2022,2179774.41,,6208.95,2650638.589,2343.86,25273027.56
LA,Teche Power Station,1400,2022,290456.82,,0.916,181492.278,396.089,3053934.061
LA,Little Gypsy,1402,2022,547921.69,,1.934,383075.802,440.875,6445964.766
LA,Ninemile Point,1403,2022,8694714.25,,22.416,4439437.486,6114.896,74683581.55
LA,Sterlington,1404,2022,4491.73,,0.017,3429.66,12.983,57703.207
LA,Big Cajun 1,1464,2022,58476.88,,0.208,41160.518,30.61,692630.281
ME,William F Wyman,1507,2022,243447.67,,645.751,218462.176,204.68,2563777.935
