State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
PA,Elrama,3098,1995,,,4601.9,3007325.9,9093,28480261
PA,Elrama,3098,1996,,,4675,3508185,9934,34192848
PA,Elrama,3098,1997,2309685.75,,4124.436,2898689.56,7677.364,28252305.75
PA,Elrama,3098,1998,2536668.25,,4911.818,3338757.077,8381.306,32541557.02
PA,Elrama,3098,1999,1933783.44,,4929.799,2793829.576,7023.014,27230295.95
PA,Elrama,3098,2000,2432313.53,,4633.603,3087302.154,7257.505,30090642.68
PA,Elrama,3098,2001,2652689.66,,5367.083,3515496.314,7720.516,34262623.83
PA,Elrama,3098,2002,2511609.25,,5395.222,3469030.896,8078.749,33811222.37
PA,Elrama,3098,2003,2169649.84,,3563.198,2687750.005,5874.741,26196355.92
PA,Elrama,3098,2004,2094651.41,,3645.01,2500488.405,5520.856,24371235.72
PA,Elrama,3098,2005,1809826.33,,3216.043,2009719.183,4686.027,19587977.14
PA,Elrama,3098,2006,2399069.03,,4821.149,2671697.982,6295.929,26039967.2
PA,Elrama,3098,2007,2231617.81,,4267.418,2343388.445,6027.662,22840061.19
PA,Elrama,3098,2008,1303800.53,,2571.939,1373280.56,3523.244,13384777.93
PA,Elrama,3098,2009,423796.23,,862.047,447840.325,1097.015,4364899.211
PA,Elrama,3098,2010,642946.22,,1531.655,750427.007,1702.893,7314130.162
PA,Elrama,3098,2011,203144.97,,427.916,237076.749,560.71,2310687.333
PA,Elrama,3098,2012,107586.76,,249.511,130750.745,273.272,1274373.84
PA,Elrama,3098,2013,,,,,,
PA,Portland,3113,1995,,,22143,1532463,2529,14780327
PA,Portland,3113,1996,,,25783,1813853,3324,17629917
PA,Portland,3113,1997,2041235,,29036.522,2014159.575,3444.188,19620279.7
PA,Portland,3113,1998,2033690,,21898.17,2002797.2,2915.26,19512551.55
PA,Portland,3113,1999,2137127.75,,26319.235,2070221.675,2589.854,20177627.25
PA,Portland,3113,2000,1933644.53,,20295.288,1864248.198,2514.225,18170055.61
PA,Portland,3113,2001,1272243.25,,16618.098,1270795.775,1898.342,12385939.25
PA,Portland,3113,2002,1958075.75,,24309.753,1966136.75,2973.297,19163116.8
PA,Portland,3113,2003,1949240,,28227.734,1954050.95,2912.306,19045307.5
PA,Portland,3113,2004,2163927.25,,30711.858,2184363.975,3270.015,21290110.58
PA,Portland,3113,2005,2299823.5,,29094.716,2214001.9,3198.85,21578990.6
PA,Portland,3113,2006,2292985.75,,30684.346,2254413.325,3350.555,21972806.28
PA,Portland,3113,2007,2386329.08,,32727.745,2371252.517,3629.258,23111637.39
PA,Portland,3113,2008,2279411.57,,31000.473,2245319.118,3893.925,21884194.5
PA,Portland,3113,2009,2423660.89,,30464.64,2322667.818,3065.992,22638073.18
PA,Portland,3113,2010,1811912.01,,22072.342,1703539.476,2696.313,16603701.24
PA,Portland,3113,2011,1234300.95,,15147.072,1182920.776,1966.594,11529390.85
PA,Portland,3113,2012,172764.04,,2381.997,175857.489,317.662,1714008.057
PA,Portland,3113,2013,224417.87,,2101.418,227954.346,400.067,2221750.076
PA,Portland,3113,2014,273117.61,,3179.832,262752.886,424.6,2560945.356
PA,Portland,3113,2015,,,,,,
PA,Titus,3115,1995,,,13641,1235813,2803,11931949
PA,Titus,3115,1996,,,15962.6,1353814,2486,13181115
PA,Titus,3115,1997,1356767.75,,17089.418,1429167,2569.295,13883246.78
PA,Titus,3115,1998,1372534.75,,15190.003,1418033.775,2598.755,13783082.15
PA,Titus,3115,1999,1174308,,12629.626,1179560.025,1841.704,11496684.83
PA,Titus,3115,2000,1363153.02,,15292.235,1397428.028,2146.569,13620089.01
PA,Titus,3115,2001,899306.1,,10482.714,940022.64,1384.093,9162001.727
PA,Titus,3115,2002,1171126.73,,13840.461,1239473.286,1790.642,12080729.83
PA,Titus,3115,2003,1308062.25,,15892.274,1344585.388,2088.297,13105065.53
PA,Titus,3115,2004,1210020.02,,13577.72,1245216.711,1996.192,12136589.03
PA,Titus,3115,2005,1368721.36,,14926.378,1404778.571,2269.939,13691828.35
PA,Titus,3115,2006,1259636.31,,13338.569,1258790.701,1997.193,12268916.6
PA,Titus,3115,2007,1480981.97,,14488.735,1481640.103,2474.375,14440906.01
PA,Titus,3115,2008,1302526.14,,12127.844,1241302.09,2059.857,12098457.94
PA,Titus,3115,2009,1028088.04,,9860.981,980283.841,1528.44,9554501.542
PA,Titus,3115,2010,808729.9,,8338.885,820737.221,1378.035,7999399.773
PA,Titus,3115,2011,408984.51,,4086.002,403535.578,681.059,3933120.601
PA,Titus,3115,2012,108646.07,,1077.677,109557.592,188.584,1067820.435
PA,Titus,3115,2013,269817.29,,2393.911,260293.953,451.773,2537008.583
PA,Titus,3115,2014,,,,,,
PA,Conemaugh,3118,1995,,,78093,12771045,25091,124514455
PA,Conemaugh,3118,1996,,,7108.3,11943156,24324,116472192
PA,Conemaugh,3118,1997,13017601.25,,7254.582,13057320.85,24605.059,127323656.7
PA,Conemaugh,3118,1998,13931259.25,,8220.962,14037952.13,23900.05,136870761.1
PA,Conemaugh,3118,1999,13425241.75,,7892.995,12861237.13,20764.493,125393135.9
PA,Conemaugh,3118,2000,12985104.5,,7107.244,12327873.53,20538.151,120265628.7
PA,Conemaugh,3118,2001,13489514.75,,6452.903,12129340.93,20864.122,118275430.9
PA,Conemaugh,3118,2002,13418010.31,,5936.427,11603127.75,19460.91,113132105
PA,Conemaugh,3118,2003,14460043.98,,7373.345,12871213.11,21508.371,125449776.8
PA,Conemaugh,3118,2004,13782555.86,,7204.172,12336450.11,19741.345,120259117.7
PA,Conemaugh,3118,2005,13749197.64,,7177.062,12609081.91,19663.295,122906774.1
PA,Conemaugh,3118,2006,15156104.11,,8036.934,13991063.97,23369.357,136378533.9
PA,Conemaugh,3118,2007,13744914.11,,6783.314,12124918.75,20124.581,118215813.6
PA,Conemaugh,3118,2008,12213107.75,,6282.272,10882875.61,17434.354,106143504.6
PA,Conemaugh,3118,2009,12948971.84,,7221.599,12079354.48,18979.931,117770197.2
PA,Conemaugh,3118,2010,12965957.28,,7055.742,11966511.94,19564.11,116664957.8
PA,Conemaugh,3118,2011,11549854.66,,7188.759,10692513.77,17552.9,104234717.3
PA,Conemaugh,3118,2012,11376057.55,,6311.717,10766149.41,16455.728,104961149.2
PA,Conemaugh,3118,2013,12526667.43,,6408.118,11586701.01,18171.427,112961158.7
PA,Conemaugh,3118,2014,11727173.4,,4935.629,10810663.69,17090.896,105411568.8
PA,Conemaugh,3118,2015,11959589.16,,4341.553,11218029.91,14840.104,110303312
PA,Conemaugh,3118,2016,9964233.07,,3646.59,9673110.868,11162.931,94580461.77
PA,Conemaugh,3118,2017,12083338.7,,4619.673,11699375.87,5998.863,114121272.6
