State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
PA,Northampton Generating Plant,50888,2001,957310.25,,,,415.362,
PA,Northampton Generating Plant,50888,2002,956479,,,,453.638,7932748.875
PA,Northampton Generating Plant,50888,2003,887001.22,,,,360.938,10318197.38
PA,Northampton Generating Plant,50888,2004,906114.76,,,,409.511,10846447.4
PA,Northampton Generating Plant,50888,2005,901669.29,,,,402.191,10741007.75
PA,Northampton Generating Plant,50888,2006,1005962.59,,,,421.83,11340606.27
PA,Northampton Generating Plant,50888,2007,924060.82,,,,399.374,9362012.665
PA,Northampton Generating Plant,50888,2008,1025514.6,,,,446.156,10281266.27
PA,Northampton Generating Plant,50888,2009,904492.15,,489.841,,392.88,9015724.226
PA,Northampton Generating Plant,50888,2010,871507.27,,514.1,1032471.084,397.992,8891315.624
PA,Northampton Generating Plant,50888,2011,1030185.4,,555.973,1230612.837,449.756,10681824.91
PA,Northampton Generating Plant,50888,2012,901112.34,,473.713,1042891.392,383.447,9242761.107
PA,Northampton Generating Plant,50888,2013,870533.81,,463.897,1028782.222,375.198,10027167.19
PA,Northampton Generating Plant,50888,2014,746215.47,,393.857,917632.607,326.143,7816524.82
PA,Northampton Generating Plant,50888,2015,509810.72,,288.708,632838.993,230.763,5330166.914
PA,Northampton Generating Plant,50888,2016,312794.83,,173.596,379068.344,142.078,3192663.672
PA,Northampton Generating Plant,50888,2017,264318.28,,150.242,316453.278,114.208,2665293.538
PA,Northampton Generating Plant,50888,2018,244361.28,,125.034,297896.84,111.925,2508998.978
PA,Northampton Generating Plant,50888,2019,174836,,87.282,222719.807,78.361,1875877.169
PA,Northampton Generating Plant,50888,2020,10732,,5.12,13887.83,4.631,117014.551
PA,Northampton Generating Plant,50888,2021,104910.88,,40.492,132512.171,47.112,1151260.753
PA,Northampton Generating Plant,50888,2022,489782,,225.558,601721.4,206.871,5245316.9
