State,Facility Name,Facility ID,Year,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
PA,Seward,3130,2003,,0,,130.302,0.146,1270.026
PA,Seward,3130,2004,,8575640.98,2800.992,1274765.753,1971.941,24896699.26
PA,Seward,3130,2005,,20747134.71,7618.906,3128927.465,1445.998,30496421.28
PA,Seward,3130,2006,,24021293.48,7357.98,3446385.44,1720.598,33631632.3
PA,Seward,3130,2007,,26218272.38,8096.019,3731173.702,1739.213,36400512.06
PA,Seward,3130,2008,,28147062.82,7771.179,4019576.027,2231.466,39209813.65
PA,Seward,3130,2009,,25383615.41,7755.581,3905553.217,2038.704,38090376.66
PA,Seward,3130,2010,,27873062.34,8457.796,4132383.46,2272.24,40308755.88
PA,Seward,3130,2011,,23286097.79,7003.281,3534901.75,1768.789,34491091.69
PA,Seward,3130,2012,,13512102.06,4333.295,2133324.355,953.062,20814196.87
PA,Seward,3130,2013,,13822845.16,4079.281,1965453.04,969.558,19183496.44
PA,Seward,3130,2014,,20698557.85,6533.218,2918797.319,1411.804,28465465
PA,Seward,3130,2015,,13178326.03,4342.731,1942097.463,959.873,18947057.15
PA,Seward,3130,2016,,21309069.2,7302.926,3130604.304,1745.74,30537546.35
PA,Seward,3130,2017,,18779096.75,7269.872,2791996.363,1450.118,27249584.36
PA,Seward,3130,2018,,19468230.28,7961.073,2875938.1,1525.293,28045507.94
PA,Seward,3130,2019,,14231211.37,5780.317,2095051.375,1079.361,20218472.3
PA,Seward,3130,2020,,17466481.62,6313.485,2710617.827,1610.164,25765412.98
PA,Seward,3130,2021,,22195411.12,7569.312,3265140.608,1957.338,30564088.56
PA,Seward,3130,2022,,20995127.26,8006.017,3153638.03,1715.659,30576064.71
PA,Gilberton Power Company,10113,1999,,6360354,,,226.825,
PA,Gilberton Power Company,10113,2000,,6718474.5,,,275.14,
PA,Gilberton Power Company,10113,2001,,6590375.75,,,262.337,
