date,difficulty,btcdiffera
1/1/13,2979636.617,1
1/2/13,2979636.617,
1/3/13,2979636.617,
1/4/13,2979636.617,
1/5/13,2979636.617,
1/6/13,2979636.617,
1/7/13,3249549.584,2
1/8/13,3249549.584,
1/9/13,3249549.584,
1/10/13,3249549.584,
1/11/13,3249549.584,
1/12/13,3249549.584,
1/13/13,3249549.584,
1/14/13,3249549.584,
1/15/13,3249549.584,
1/16/13,3249549.584,
1/17/13,3249549.584,
1/18/13,3249549.584,
1/19/13,3249549.584,
1/20/13,3249549.584,
1/21/13,3249549.584,
1/22/13,3249549.584,
1/23/13,3249549.584,
1/24/13,3249549.584,
1/25/13,2968775.332,3
1/26/13,2968775.332,
1/27/13,2968775.332,
1/28/13,2968775.332,
1/29/13,2968775.332,
1/30/13,2968775.332,
1/31/13,2968775.332,
2/1/13,2968775.332,
2/2/13,2968775.332,
2/3/13,2968775.332,
2/4/13,3275464.587,4
2/5/13,3275464.587,
2/6/13,3275464.587,
2/7/13,3275464.587,
2/8/13,3275464.587,
2/9/13,3275464.587,
2/10/13,3275464.587,
2/11/13,3275464.587,
2/12/13,3275464.587,
2/13/13,3275464.587,
2/14/13,3275464.587,
2/15/13,3275464.587,
2/16/13,3275464.587,
2/17/13,3275464.587,
2/18/13,3651011.631,5
2/19/13,3651011.631,
2/20/13,3651011.631,
2/21/13,3651011.631,
2/22/13,3651011.631,
2/23/13,3651011.631,
2/24/13,3651011.631,
2/25/13,3651011.631,
2/26/13,3651011.631,
2/27/13,3651011.631,
2/28/13,4367876.001,6
3/1/13,4367876.001,
3/2/13,4367876.001,
3/3/13,4367876.001,
3/4/13,4367876.001,
3/5/13,4367876.001,
3/6/13,4367876.001,
3/7/13,4367876.001,
3/8/13,4367876.001,
3/9/13,4367876.001,
3/10/13,4367876.001,
3/11/13,4367876.001,
3/12/13,4367876.001,
3/13/13,4367876.001,
3/14/13,4847647.152,7
3/15/13,4847647.152,
3/16/13,4847647.152,
3/17/13,4847647.152,
3/18/13,4847647.152,
3/19/13,4847647.152,
3/20/13,4847647.152,
3/21/13,4847647.152,
3/22/13,4847647.152,
3/23/13,6695826.283,8
3/24/13,6695826.283,
3/25/13,6695826.283,
3/26/13,6695826.283,
3/27/13,6695826.283,
3/28/13,6695826.283,
3/29/13,6695826.283,
3/30/13,6695826.283,
3/31/13,6695826.283,
4/1/13,6695826.283,
4/2/13,6695826.283,
4/3/13,6695826.283,
4/4/13,7672999.92,9
4/5/13,7672999.92,
4/6/13,7672999.92,
4/7/13,7672999.92,
4/8/13,7672999.92,
4/9/13,7672999.92,
4/10/13,7672999.92,
4/11/13,7672999.92,
4/12/13,7672999.92,
4/13/13,7672999.92,
4/14/13,7672999.92,
4/15/13,7672999.92,
4/16/13,8974296.015,10
4/17/13,8974296.015,
4/18/13,8974296.015,
4/19/13,8974296.015,
4/20/13,8974296.015,
4/21/13,8974296.015,
4/22/13,8974296.015,
4/23/13,8974296.015,
4/24/13,8974296.015,
4/25/13,8974296.015,
4/26/13,8974296.015,
4/27/13,8974296.015,
4/28/13,8974296.015,
4/29/13,10076292.88,11
4/30/13,10076292.88,
5/1/13,10076292.88,
5/2/13,10076292.88,
5/3/13,10076292.88,
5/4/13,10076292.88,
5/5/13,10076292.88,
5/6/13,10076292.88,
5/7/13,10076292.88,
5/8/13,10076292.88,
5/9/13,10076292.88,
5/10/13,10076292.88,
5/11/13,10076292.88,
5/12/13,10076292.88,
5/13/13,11187257.46,12
5/14/13,11187257.46,
5/15/13,11187257.46,
5/16/13,11187257.46,
5/17/13,11187257.46,
5/18/13,11187257.46,
5/19/13,11187257.46,
5/20/13,11187257.46,
5/21/13,11187257.46,
5/22/13,11187257.46,
5/23/13,11187257.46,
5/24/13,11187257.46,
5/25/13,12153411.71,13
5/26/13,12153411.71,
5/27/13,12153411.71,
5/28/13,12153411.71,
5/29/13,12153411.71,
5/30/13,12153411.71,
5/31/13,12153411.71,
6/1/13,12153411.71,
6/2/13,12153411.71,
6/3/13,12153411.71,
6/4/13,15605632.68,14
6/5/13,15605632.68,
6/6/13,15605632.68,
6/7/13,15605632.68,
6/8/13,15605632.68,
6/9/13,15605632.68,
6/10/13,15605632.68,
6/11/13,15605632.68,
6/12/13,15605632.68,
6/13/13,15605632.68,
6/14/13,15605632.68,
6/15/13,15605632.68,
6/16/13,19339258.27,15
6/17/13,19339258.27,
6/18/13,19339258.27,
6/19/13,19339258.27,
6/20/13,19339258.27,
6/21/13,19339258.27,
6/22/13,19339258.27,
6/23/13,19339258.27,
6/24/13,19339258.27,
6/25/13,19339258.27,
6/26/13,19339258.27,
6/27/13,19339258.27,
6/28/13,21335329.11,16
6/29/13,21335329.11,
6/30/13,21335329.11,
7/1/13,21335329.11,
7/2/13,21335329.11,
7/3/13,21335329.11,
7/4/13,21335329.11,
7/5/13,21335329.11,
7/6/13,21335329.11,
7/7/13,21335329.11,
7/8/13,21335329.11,
7/9/13,21335329.11,
7/10/13,26162875.68,17
7/11/13,26162875.68,
7/12/13,26162875.68,
7/13/13,26162875.68,
7/14/13,26162875.68,
7/15/13,26162875.68,
7/16/13,26162875.68,
7/17/13,26162875.68,
7/18/13,26162875.68,
7/19/13,26162875.68,
7/20/13,26162875.68,
7/21/13,31256960.73,18
7/22/13,31256960.73,
7/23/13,31256960.73,
7/24/13,31256960.73,
7/25/13,31256960.73,
7/26/13,31256960.73,
7/27/13,31256960.73,
7/28/13,31256960.73,
7/29/13,31256960.73,
7/30/13,31256960.73,
7/31/13,31256960.73,
8/1/13,31256960.73,
8/2/13,37392766.14,19
8/3/13,37392766.14,
8/4/13,37392766.14,
8/5/13,37392766.14,
8/6/13,37392766.14,
8/7/13,37392766.14,
8/8/13,37392766.14,
8/9/13,37392766.14,
8/10/13,37392766.14,
8/11/13,37392766.14,
8/12/13,50810339.05,20
8/13/13,50810339.05,
8/14/13,50810339.05,
8/15/13,50810339.05,
8/16/13,50810339.05,
8/17/13,50810339.05,
8/18/13,50810339.05,
8/19/13,50810339.05,
8/20/13,50810339.05,
8/21/13,50810339.05,
8/22/13,50810339.05,
8/23/13,65750060.15,21
8/24/13,65750060.15,
8/25/13,65750060.15,
8/26/13,65750060.15,
8/27/13,65750060.15,
8/28/13,65750060.15,
8/29/13,65750060.15,
8/30/13,65750060.15,
8/31/13,65750060.15,
9/1/13,65750060.15,
9/2/13,65750060.15,
9/3/13,65750060.15,
9/4/13,86933017.77,22
9/5/13,86933017.77,
9/6/13,86933017.77,
9/7/13,86933017.77,
9/8/13,86933017.77,
9/9/13,86933017.77,
9/10/13,86933017.77,
9/11/13,86933017.77,
9/12/13,86933017.77,
9/13/13,86933017.77,
9/14/13,112628548.7,23
9/15/13,112628548.7,
9/16/13,112628548.7,
9/17/13,112628548.7,
9/18/13,112628548.7,
9/19/13,112628548.7,
9/20/13,112628548.7,
9/21/13,112628548.7,
9/22/13,112628548.7,
9/23/13,112628548.7,
9/24/13,112628548.7,
9/25/13,148819199.8,24
9/26/13,148819199.8,
9/27/13,148819199.8,
9/28/13,148819199.8,
9/29/13,148819199.8,
9/30/13,148819199.8,
10/1/13,148819199.8,
10/2/13,148819199.8,
10/3/13,148819199.8,
10/4/13,148819199.8,
10/5/13,189281249.3,25
10/6/13,189281249.3,
10/7/13,189281249.3,
10/8/13,189281249.3,
10/9/13,189281249.3,
10/10/13,189281249.3,
10/11/13,189281249.3,
10/12/13,189281249.3,
10/13/13,189281249.3,
10/14/13,189281249.3,
10/15/13,189281249.3,
10/16/13,267731249.5,26
10/17/13,267731249.5,
10/18/13,267731249.5,
10/19/13,267731249.5,
10/20/13,267731249.5,
10/21/13,267731249.5,
10/22/13,267731249.5,
10/23/13,267731249.5,
10/24/13,267731249.5,
10/25/13,390928787.6,27
10/26/13,390928787.6,
10/27/13,390928787.6,
10/28/13,390928787.6,
10/29/13,390928787.6,
10/30/13,390928787.6,
10/31/13,390928787.6,
11/1/13,390928787.6,
11/2/13,390928787.6,
11/3/13,390928787.6,
11/4/13,390928787.6,
11/5/13,390928787.6,
11/6/13,510929738,28
11/7/13,510929738,
11/8/13,510929738,
11/9/13,510929738,
11/10/13,510929738,
11/11/13,510929738,
11/12/13,510929738,
11/13/13,510929738,
11/14/13,510929738,
11/15/13,510929738,
11/16/13,609482679.9,29
11/17/13,609482679.9,
11/18/13,609482679.9,
11/19/13,609482679.9,
11/20/13,609482679.9,
11/21/13,609482679.9,
11/22/13,609482679.9,
11/23/13,609482679.9,
11/24/13,609482679.9,
11/25/13,609482679.9,
11/26/13,609482679.9,
11/27/13,609482679.9,
11/28/13,707408283.1,30
11/29/13,707408283.1,
11/30/13,707408283.1,
12/1/13,707408283.1,
12/2/13,707408283.1,
12/3/13,707408283.1,
12/4/13,707408283.1,
12/5/13,707408283.1,
12/6/13,707408283.1,
12/7/13,707408283.1,
12/8/13,707408283.1,
12/9/13,908350862.4,31
12/10/13,908350862.4,
12/11/13,908350862.4,
12/12/13,908350862.4,
12/13/13,908350862.4,
12/14/13,908350862.4,
12/15/13,908350862.4,
12/16/13,908350862.4,
12/17/13,908350862.4,
12/18/13,908350862.4,
12/19/13,908350862.4,
12/20/13,908350862.4,
12/21/13,1180923195,32
12/22/13,1180923195,
12/23/13,1180923195,
12/24/13,1180923195,
12/25/13,1180923195,
12/26/13,1180923195,
12/27/13,1180923195,
12/28/13,1180923195,
12/29/13,1180923195,
12/30/13,1180923195,
12/31/13,1180923195,
1/1/14,1180923195,
1/2/14,1418481395,33
1/3/14,1418481395,
1/4/14,1418481395,
1/5/14,1418481395,
1/6/14,1418481395,
1/7/14,1418481395,
1/8/14,1418481395,
1/9/14,1418481395,
1/10/14,1418481395,
1/11/14,1418481395,
1/12/14,1789546951,34
1/13/14,1789546951,
1/14/14,1789546951,
1/15/14,1789546951,
1/16/14,1789546951,
1/17/14,1789546951,
1/18/14,1789546951,
1/19/14,1789546951,
1/20/14,1789546951,
1/21/14,1789546951,
1/22/14,1789546951,
1/23/14,2193847870,35
1/24/14,2193847870,
1/25/14,2193847870,
1/26/14,2193847870,
1/27/14,2193847870,
1/28/14,2193847870,
1/29/14,2193847870,
1/30/14,2193847870,
1/31/14,2193847870,
2/1/14,2193847870,
2/2/14,2193847870,
2/3/14,2193847870,
2/4/14,2621404453,36
2/5/14,2621404453,
2/6/14,2621404453,
2/7/14,2621404453,
2/8/14,2621404453,
2/9/14,2621404453,
2/10/14,2621404453,
2/11/14,2621404453,
2/12/14,2621404453,
2/13/14,2621404453,
2/14/14,2621404453,
2/15/14,2621404453,
2/16/14,3129573175,37
2/17/14,3129573175,
2/18/14,3129573175,
2/19/14,3129573175,
2/20/14,3129573175,
2/21/14,3129573175,
2/22/14,3129573175,
2/23/14,3129573175,
2/24/14,3129573175,
2/25/14,3129573175,
2/26/14,3129573175,
2/27/14,3129573175,
2/28/14,3815723799,38
3/1/14,3815723799,
3/2/14,3815723799,
3/3/14,3815723799,
3/4/14,3815723799,
3/5/14,3815723799,
3/6/14,3815723799,
3/7/14,3815723799,
3/8/14,3815723799,
3/9/14,3815723799,
3/10/14,3815723799,
3/11/14,3815723799,
3/12/14,4250217920,39
3/13/14,4250217920,
3/14/14,4250217920,
