date,hashrate,ehashrate,btcreward,,,
2023-06-28,280545974.4,280.5459744,6.25,,,
2023-06-27,364329624.5,364.3296245,6.25,,,
2023-06-26,379943751.2,379.9437512,6.25,,,
2023-06-25,398160232.5,398.1602325,6.25,,,
2023-06-24,379943751.2,379.9437512,6.25,,,
2023-06-23,325294307.6,325.2943076,6.25,,,
2023-06-22,356522561.1,356.5225611,6.25,,,
2023-06-21,314884889.7,314.8848897,6.25,,,
2023-06-20,353920206.6,353.9202066,6.25,,,
2023-06-19,369534333.4,369.5343334,6.25,,,
2023-06-18,392955523.5,392.9555235,6.25,,,
2023-06-17,364329624.5,364.3296245,6.25,,,
2023-06-16,398160232.5,398.1602325,6.25,,,
2023-06-15,385148460.2,385.1484602,6.25,,,
2023-06-14,312388215,312.388215,6.25,,,
2023-06-13,374390301.5,374.3903015,6.25,,,
2023-06-12,399859029.5,399.8590295,6.25,,,
2023-06-11,415140266.3,415.1402663,6.25,,,
2023-06-10,392218411.1,392.2184111,6.25,,,
2023-06-09,430421503.1,430.4215031,6.25,,,
2023-06-08,392218411.1,392.2184111,6.25,,,
2023-06-07,343827827.9,343.8278279,6.25,,,
2023-06-06,384577792.7,384.5777927,6.25,,,
2023-06-05,351468446.3,351.4684463,6.25,,,
2023-06-04,376937174.3,376.9371743,6.25,,,
2023-06-03,331093463.9,331.0934639,6.25,,,
2023-06-02,417687139.1,417.6871391,6.25,,,
2023-06-01,336187209.5,336.1872095,6.25,,,
2023-05-31,349729770.9,349.7297709,6.25,,,
2023-05-30,379321882.2,379.3218822,6.25,,,
2023-05-29,399026915,399.026915,6.25,,,
2023-05-28,394100656.8,394.1006568,6.25,,,
2023-05-27,357153720.2,357.1537202,6.25,,,
2023-05-26,376858753.1,376.8587531,6.25,,,
2023-05-25,371932494.9,371.9324949,6.25,,,
2023-05-24,347301203.8,347.3012038,6.25,,,
2023-05-23,379321882.2,379.3218822,6.25,,,
2023-05-22,354690591.1,354.6905911,6.25,,,
2023-05-21,371932494.9,371.9324949,6.25,,,
2023-05-20,322669912.8,322.6699128,6.25,,,
2023-05-19,369469365.8,369.4693658,6.25,,,
2023-05-18,344768089.1,344.7680891,6.25,,,
2023-05-17,381818888.7,381.8188887,6.25,,,
2023-05-16,365114312.3,365.1143123,6.25,,,
2023-05-15,350796104,350.796104,6.25,,,
2023-05-14,415228041.5,415.2280415,6.25,,,
2023-05-13,346023367.9,346.0233679,6.25,,,
2023-05-12,336477895.7,336.4778957,6.25,,,
2023-05-11,360341576.2,360.3415762,6.25,,,
2023-05-10,405682569.3,405.6825693,6.25,,,
2023-05-09,360341576.2,360.3415762,6.25,,,
2023-05-08,326932423.5,326.9324235,6.25,,,
2023-05-07,331705159.6,331.7051596,6.25,,,
2023-05-06,355568840.1,355.5688401,6.25,,,
2023-05-05,283977798.5,283.9777985,6.25,,,
2023-05-04,351888475.1,351.8884751,6.25,,,
2023-05-03,341432463.6,341.4324636,6.25,,,
2023-05-02,312374381.6,312.3743816,6.25,,,
2023-05-01,440714243.8,440.7142438,6.25,,,
2023-04-30,358383011.5,358.3830115,6.25,,,
2023-04-29,331746436.3,331.7464363,6.25,,,
2023-04-28,355961504.6,355.9615046,6.25,,,
2023-04-27,314795888.5,314.7958885,6.25,,,
2023-04-26,314795888.5,314.7958885,6.25,,,
2023-04-25,302688354.3,302.6883543,6.25,,,
2023-04-24,341432463.6,341.4324636,6.25,,,
2023-04-23,355961504.6,355.9615046,6.25,,,
2023-04-22,360804518.3,360.8045183,6.25,,,
2023-04-21,351118491,351.118491,6.25,,,
2023-04-20,319313867.4,319.3138674,6.25,,,
2023-04-19,330891401.1,330.8914011,6.25,,,
2023-04-18,395165270.4,395.1652704,6.25,,,
2023-04-17,368979620,368.97962,6.25,,,
2023-04-16,295183696,295.183696,6.25,,,
2023-04-15,376121161,376.121161,6.25,,,
2023-04-14,333271914.8,333.2719148,6.25,,,
2023-04-13,338032942.2,338.0329422,6.25,,,
2023-04-12,380882188.4,380.8821884,6.25,,,
2023-04-11,366599106.3,366.5991063,6.25,,,
2023-04-10,292803182.3,292.8031823,6.25,,,
2023-04-09,347554996.9,347.5549969,6.25,,,
2023-04-08,349935510.6,349.9355106,6.25,,,
2023-04-07,338032942.2,338.0329422,6.25,,,
2023-04-06,375327217.2,375.3272172,6.25,,,
2023-04-05,323675130.1,323.6751301,6.25,,,
2023-04-04,377232885.5,377.2328855,6.25,,,
