name,location,power,fossilfuel,emissions,ba
Riot Platforms,"Rockdale, Texas",450 MW,96%,"1,918,000 tons",ERCO
Atlas Power,"Williston, N.D.",240 MW,79%,"1,043,000 tons",MISO
Cipher Mining,"Odessa, Texas",207 MW,92%,"837,000 tons",ERCO
US Bitcoin,"Upton County, Texas",200 MW,92%,"809,000 tons",ERCO
Rhodium Enterprises,"Temple, Texas",185 MW,90%,"739,000 tons",ERCO
Bitdeer,"Rockdale, Texas",170 MW,96%,"725,000 tons",ERCO
Coinmint,"Massena, N.Y.",150 MW,72%,"457,000 tons",NYIS
Core Scientific,"Calvert City, Ky.",150 MW,91%,"783,000 tons",MISO
Viking Data Centers,"Akron, Ohio",150 MW,99%,"705,000 tons",PJM
Core Scientific,"Dalton, Ga.",142 MW,78%,"627,000 tons",TVA
Core Scientific,"Pecos, Texas",140 MW,92%,"566,000 tons",EPE
Genesis Digital Assets,"Pyote, Texas",135 MW,92%,"546,000 tons",ERCO
Core Scientific,"Denton, Texas",125 MW,92%,"501,000 tons",ERCO
Core Scientific,"Marble, N.C.",104 MW,78%,"459,000 tons",DUK
Core Scientific,"Grand Forks, N.D.",100 MW,76%,"406,000 tons",MISO
Galaxy,"Afton, Texas",100 MW,92%,"400,000 tons",ERCO
Merkle Standard,"Usk, Wash.",100 MW,15%,"344,000 tons",AVA
Poolin,"Pyote, Texas",100 MW,92%,"404,000 tons",ERCO
US Bitcoin,"Kearney, Neb.",100 MW,73%,"384,000 tons",SWPP
Applied Digital,"Jamestown, N.D.",92 MW,90%,"475,000 tons",MISO
Bit Intelligence,"Hennepin, Ill.",82 MW,91%,"428,000 tons",MISO
Atlas Power,"Butte, Mont.",75 MW,30%,"332,000 tons",NWMT
CleanSpark,"Sandersville, Ga.",72 MW,91%,"314,000 tons",SOCO
Bitdeer,"Knoxville, Tenn.",60 MW,78%,"265,000 tons",TVA
TeraWulf,"Somerset, N.Y.",60 MW,81%,"151,000 tons",NYIS
AboutBit,"Merom, Ind.",57 MW,91%,"297,000 tons",MISO
Greenidge Generation,"Dresden, N.Y.",55 MW,81%,"178,000 tons",
Core Scientific,"Dalton, Ga.",53 MW,78%,"234,000 tons",SOCO
Mawson Infrastructure Group,"Midland, Pa.",50 MW,99%,"152,000 tons",PJM
Digihost,"North Tonawanda, N.Y.",46 MW,81%,"149,000 tons",NYIS
Stronghold Digital Mining,"Kennerdell, Pa.",41 MW,99%,"192,000 tons",
Stronghold Digital Mining,"Nesquehoning, Pa.",41 MW,99%,"192,000 tons",
Merkle Standard,"Moore, S.C.",40 MW,85%,"199,000 tons",DUK
CleanSpark,"College Park, Ga.",38 MW,91%,"166,000 tons",SOCO
