State,Facility Name,Facility ID,Unit ID,Associated Stacks,Date,Operating Time Count,Sum of the Operating Time,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),SO2 Rate (lbs/mmBtu),CO2 Mass (short tons),CO2 Rate (short tons/mmBtu),NOx Mass (short tons),NOx Rate (lbs/mmBtu),Heat Input (mmBtu),Primary Fuel Type,Secondary Fuel Type,Unit Type,SO2 Controls,NOx Controls,PM Controls,Hg Controls,Program Code
PA,Scrubgrass Generating Plant,50974,1,,1/1/15,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/2/15,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/3/15,0,0,,,,,,,,,,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/4/15,14,14,,1390,0.591,0.4152,307.4,0.1004,0.19,0.1139,3065.4,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/5/15,24,24,,6402,1.73,0.3363,1029.9,0.1,0.854,0.1664,10275.8,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/6/15,24,24,,7017,2.102,0.3548,1180.8,0.1,0.9,0.154,11783.1,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/7/15,21,20.38,,6171.08,1.999,0.3891,1084.966,0.0999,0.852,0.167,10827.16,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/8/15,24,24,,9301,3.494,0.4153,1680.4,0.1,1.353,0.1617,16769.2,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/9/15,24,24,,7402,2.123,0.3428,1236.5,0.1,1.046,0.1692,12341.7,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/10/15,24,24,,7015,2.03,0.3441,1177.5,0.1,0.997,0.1697,11751,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/11/15,24,24,,5967,1.59,0.3396,938.2,0.1,0.789,0.1685,9362.7,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/12/15,24,24,,6905,2.054,0.352,1164.8,0.1,0.909,0.157,11622.5,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/13/15,24,24,,8289,2.654,0.3719,1423.1,0.1,1.169,0.1612,14202.1,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/14/15,24,24,,8450,2.589,0.3734,1441.3,0.1,1.343,0.1915,14382.4,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/15/15,24,24,,7556,2.309,0.3547,1288.3,0.1,1.086,0.1716,12855.5,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/16/15,24,24,,6452,1.917,0.3568,1070.9,0.1,0.862,0.1625,10688.1,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/17/15,24,24,,6133,1.754,0.3521,990.7,0.1,0.834,0.17,9886.2,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/18/15,24,24,,5711,1.525,0.3401,898.1,0.1,0.74,0.1652,8961.3,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/19/15,24,24,,5736,1.477,0.3281,902.4,0.1,0.654,0.1453,9002.7,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/20/15,24,24,,6260,1.685,0.3304,1022.8,0.1,0.751,0.147,10203,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/21/15,24,24,,6386,1.779,0.3313,1076.3,0.1,0.711,0.1325,10741.2,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
PA,Scrubgrass Generating Plant,50974,1,,1/22/15,24,24,,6157,1.658,0.3318,1001,0.1,0.659,0.1323,9990.9,Coal,,Circulating fluidized bed boiler,Dry Lime FGD,Selective Non-catalytic Reduction,,,"ARP, CSNOX, CSNOXOS, CSSO2G1, MATS"
