State,Facility Name,Facility ID,Date,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
PA,Panther Creek Energy Facility,50776,7/1/98,,18107,,,1.558,
PA,Panther Creek Energy Facility,50776,7/2/98,,18874,,,1.606,
PA,Panther Creek Energy Facility,50776,7/3/98,,18890,,,1.62,
PA,Panther Creek Energy Facility,50776,7/4/98,,18967,,,1.632,
PA,Panther Creek Energy Facility,50776,7/5/98,,18875,,,1.636,
PA,Panther Creek Energy Facility,50776,7/6/98,,18868,,,1.615,
PA,Panther Creek Energy Facility,50776,7/7/98,,18885,,,1.605,
PA,Panther Creek Energy Facility,50776,7/8/98,,18889,,,1.631,
PA,Panther Creek Energy Facility,50776,7/9/98,,18936,,,1.629,
PA,Panther Creek Energy Facility,50776,7/10/98,,18857,,,1.627,
PA,Panther Creek Energy Facility,50776,7/11/98,,18819,,,1.605,
PA,Panther Creek Energy Facility,50776,7/12/98,,18833,,,1.622,
PA,Panther Creek Energy Facility,50776,7/13/98,,18854,,,1.61,
PA,Panther Creek Energy Facility,50776,7/14/98,,18900,,,1.615,
PA,Panther Creek Energy Facility,50776,7/15/98,,18950,,,1.625,
PA,Panther Creek Energy Facility,50776,7/16/98,,18170,,,1.471,
PA,Panther Creek Energy Facility,50776,7/17/98,,18962,,,1.607,
PA,Panther Creek Energy Facility,50776,7/18/98,,18894,,,1.603,
PA,Panther Creek Energy Facility,50776,7/19/98,,18930,,,1.606,
PA,Panther Creek Energy Facility,50776,7/20/98,,18959,,,1.613,
PA,Panther Creek Energy Facility,50776,7/21/98,,18988,,,1.616,
PA,Panther Creek Energy Facility,50776,7/22/98,,18973,,,1.618,
PA,Panther Creek Energy Facility,50776,7/23/98,,18966,,,1.596,
PA,Panther Creek Energy Facility,50776,7/24/98,,18877,,,1.598,
PA,Panther Creek Energy Facility,50776,7/25/98,,18858,,,1.579,
PA,Panther Creek Energy Facility,50776,7/26/98,,18847,,,1.589,
PA,Panther Creek Energy Facility,50776,7/27/98,,18936,,,1.608,
PA,Panther Creek Energy Facility,50776,7/28/98,,18936,,,1.633,
PA,Panther Creek Energy Facility,50776,7/29/98,,18913,,,1.605,
PA,Panther Creek Energy Facility,50776,7/30/98,,18855,,,1.599,
PA,Panther Creek Energy Facility,50776,7/31/98,,18865,,,1.611,
PA,Panther Creek Energy Facility,50776,8/1/98,,18846,,,1.608,
PA,Panther Creek Energy Facility,50776,8/2/98,,18879,,,1.615,
PA,Panther Creek Energy Facility,50776,8/3/98,,18820,,,1.583,
