State,Facility Name,Facility ID,Date,Gross Load (MWh),Steam Load (1000 lb),SO2 Mass (short tons),CO2 Mass (short tons),NOx Mass (short tons),Heat Input (mmBtu)
PA,Scrubgrass Generating Plant,50974,7/1/98,,8807,,,1.719,14784
PA,Scrubgrass Generating Plant,50974,7/2/98,,9285,,,1.357,14784
PA,Scrubgrass Generating Plant,50974,7/3/98,,9230,,,1.253,14784
PA,Scrubgrass Generating Plant,50974,7/4/98,,9242,,,1.137,14784
PA,Scrubgrass Generating Plant,50974,7/5/98,,8325,,,1.217,14784
PA,Scrubgrass Generating Plant,50974,7/6/98,,8561,,,1.208,14784
PA,Scrubgrass Generating Plant,50974,7/7/98,,9289,,,1.162,14784
PA,Scrubgrass Generating Plant,50974,7/8/98,,9305,,,1.178,14784
PA,Scrubgrass Generating Plant,50974,7/9/98,,8960,,,1.219,14784
PA,Scrubgrass Generating Plant,50974,7/10/98,,9230,,,1.25,14784
PA,Scrubgrass Generating Plant,50974,7/11/98,,9264,,,1.182,14784
PA,Scrubgrass Generating Plant,50974,7/12/98,,9247,,,1.306,14784
PA,Scrubgrass Generating Plant,50974,7/13/98,,9203,,,1.234,14784
PA,Scrubgrass Generating Plant,50974,7/14/98,,9200,,,1.215,14784
PA,Scrubgrass Generating Plant,50974,7/15/98,,9204,,,1.145,14784
PA,Scrubgrass Generating Plant,50974,7/16/98,,8427,,,1.094,14784
PA,Scrubgrass Generating Plant,50974,7/17/98,,9234,,,1.14,14784
PA,Scrubgrass Generating Plant,50974,7/18/98,,9224,,,1.345,14784
PA,Scrubgrass Generating Plant,50974,7/19/98,,9278,,,1.241,14784
PA,Scrubgrass Generating Plant,50974,7/20/98,,9237,,,1.276,14784
PA,Scrubgrass Generating Plant,50974,7/21/98,,9283,,,1.189,14784
PA,Scrubgrass Generating Plant,50974,7/22/98,,9261,,,1.271,14784
PA,Scrubgrass Generating Plant,50974,7/23/98,,5944,,,0.87,12934.75
PA,Scrubgrass Generating Plant,50974,7/24/98,,9320,,,1.327,14784
PA,Scrubgrass Generating Plant,50974,7/25/98,,9325,,,1.257,14784
PA,Scrubgrass Generating Plant,50974,7/26/98,,9332,,,1.298,14784
PA,Scrubgrass Generating Plant,50974,7/27/98,,9304,,,1.189,14784
PA,Scrubgrass Generating Plant,50974,7/28/98,,9332,,,1.208,14784
PA,Scrubgrass Generating Plant,50974,7/29/98,,9254,,,1.144,14784
PA,Scrubgrass Generating Plant,50974,7/30/98,,9231,,,1.239,14784
PA,Scrubgrass Generating Plant,50974,7/31/98,,9266,,,1.169,14784
PA,Scrubgrass Generating Plant,50974,8/1/98,,9314,,,1.215,14784
PA,Scrubgrass Generating Plant,50974,8/2/98,,9287,,,1.21,14784
PA,Scrubgrass Generating Plant,50974,8/3/98,,9278,,,1.279,14784
PA,Scrubgrass Generating Plant,50974,8/4/98,,9300,,,1.353,14784
PA,Scrubgrass Generating Plant,50974,8/5/98,,9360,,,1.325,14784
PA,Scrubgrass Generating Plant,50974,8/6/98,,9346,,,1.142,14784
PA,Scrubgrass Generating Plant,50974,8/7/98,,9373,,,1.169,14784
PA,Scrubgrass Generating Plant,50974,8/8/98,,9361,,,1.13,14784
PA,Scrubgrass Generating Plant,50974,8/9/98,,9383,,,1.173,14784
PA,Scrubgrass Generating Plant,50974,8/10/98,,9386,,,1.113,14784
PA,Scrubgrass Generating Plant,50974,8/11/98,,9333,,,1.137,14784
PA,Scrubgrass Generating Plant,50974,8/12/98,,9285,,,1.122,14784
PA,Scrubgrass Generating Plant,50974,8/13/98,,9278,,,1.104,14784
PA,Scrubgrass Generating Plant,50974,8/14/98,,9333,,,1.233,14784
PA,Scrubgrass Generating Plant,50974,8/15/98,,9267,,,1.176,14784
PA,Scrubgrass Generating Plant,50974,8/16/98,,9202,,,1.471,14784
PA,Scrubgrass Generating Plant,50974,8/17/98,,9235,,,1.214,14784
