datetime_beginning_utc,datetime_beginning_ept,pnode_name,pnode_id,marginal_co2_rate,marginal_so2_rate,marginal_nox_rate
6/30/2023 4:00:00 AM,6/30/2023 12:00:00 AM,PJM-RTO,1,1478.7806631533,0.9377804498,0.7383454273
6/30/2023 3:00:00 AM,6/29/2023 11:00:00 PM,PJM-RTO,1,1267.2082636442,0.4749845760,0.5330136836
6/30/2023 2:00:00 AM,6/29/2023 10:00:00 PM,PJM-RTO,1,1540.1349378092,0.3406890561,0.6215118578
6/30/2023 1:00:00 AM,6/29/2023 9:00:00 PM,PJM-RTO,1,1313.7771079325,0.1213914822,0.4966721568
6/30/2023 12:00:00 AM,6/29/2023 8:00:00 PM,PJM-RTO,1,1583.5423167925,0.5188012171,0.8609388173
6/29/2023 11:00:00 PM,6/29/2023 7:00:00 PM,PJM-RTO,1,1378.2960703967,0.2371525724,0.5894271956
6/29/2023 10:00:00 PM,6/29/2023 6:00:00 PM,PJM-RTO,1,1394.7841746267,0.2735656233,0.5651135482
6/29/2023 9:00:00 PM,6/29/2023 5:00:00 PM,PJM-RTO,1,1609.1811121425,0.5758853273,0.8001797107
6/29/2023 8:00:00 PM,6/29/2023 4:00:00 PM,PJM-RTO,1,1334.3233015992,0.5570734753,0.4222036146
6/29/2023 7:00:00 PM,6/29/2023 3:00:00 PM,PJM-RTO,1,1221.1831100775,1.1585056721,0.5813776500
6/29/2023 6:00:00 PM,6/29/2023 2:00:00 PM,PJM-RTO,1,994.1099249142,0.3904362104,0.2465057523
6/29/2023 5:00:00 PM,6/29/2023 1:00:00 PM,PJM-RTO,1,1229.5817439175,0.4059578679,0.3227419708
6/29/2023 4:00:00 PM,6/29/2023 12:00:00 PM,PJM-RTO,1,1003.7453854933,0.0906753316,0.2122813037
6/29/2023 3:00:00 PM,6/29/2023 11:00:00 AM,PJM-RTO,1,906.4427001533,0.0675290895,0.1049584614
6/29/2023 2:00:00 PM,6/29/2023 10:00:00 AM,PJM-RTO,1,848.0477178275,0.0044568790,0.0772347988
6/29/2023 1:00:00 PM,6/29/2023 9:00:00 AM,PJM-RTO,1,871.9070252158,0.0044543569,0.0835194487
6/29/2023 12:00:00 PM,6/29/2023 8:00:00 AM,PJM-RTO,1,847.2755511742,0.0037714876,0.0501407479
6/29/2023 11:00:00 AM,6/29/2023 7:00:00 AM,PJM-RTO,1,865.1612991992,0.0040673218,0.0438322572
6/29/2023 10:00:00 AM,6/29/2023 6:00:00 AM,PJM-RTO,1,812.1529911275,0.0041227485,0.0440615185
6/29/2023 9:00:00 AM,6/29/2023 5:00:00 AM,PJM-RTO,1,821.6470890900,0.0039852556,0.0411594792
6/29/2023 8:00:00 AM,6/29/2023 4:00:00 AM,PJM-RTO,1,823.7336970517,0.0034147280,0.0640235085
6/29/2023 7:00:00 AM,6/29/2023 3:00:00 AM,PJM-RTO,1,986.8410083925,0.0863394583,0.0908611748
6/29/2023 6:00:00 AM,6/29/2023 2:00:00 AM,PJM-RTO,1,1311.5568559375,0.2586158961,0.2383425745
6/29/2023 5:00:00 AM,6/29/2023 1:00:00 AM,PJM-RTO,1,1318.8631926258,0.5375036819,0.3978864014
6/29/2023 4:00:00 AM,6/29/2023 12:00:00 AM,PJM-RTO,1,1128.5327387400,0.2045980974,0.2448281376
6/29/2023 3:00:00 AM,6/28/2023 11:00:00 PM,PJM-RTO,1,1452.1470170550,0.5228339931,0.5782093891
6/29/2023 2:00:00 AM,6/28/2023 10:00:00 PM,PJM-RTO,1,1368.3535922027,0.6362069284,0.7151102217
6/29/2023 1:00:00 AM,6/28/2023 9:00:00 PM,PJM-RTO,1,1558.6997416867,0.3831219565,0.8123412123
6/29/2023 12:00:00 AM,6/28/2023 8:00:00 PM,PJM-RTO,1,1363.9179902092,0.2636192578,0.5724873379
6/28/2023 11:00:00 PM,6/28/2023 7:00:00 PM,PJM-RTO,1,1489.0478506925,0.4286246944,0.6442477446
6/28/2023 10:00:00 PM,6/28/2023 6:00:00 PM,PJM-RTO,1,1485.4977610658,0.6628803256,0.6962426545
6/28/2023 9:00:00 PM,6/28/2023 5:00:00 PM,PJM-RTO,1,1069.4622939091,0.0967441537,0.2190233784
6/28/2023 8:00:00 PM,6/28/2023 4:00:00 PM,PJM-RTO,1,1367.8384576250,0.6461324856,0.3834850275
6/28/2023 7:00:00 PM,6/28/2023 3:00:00 PM,PJM-RTO,1,938.0894694845,0.0572209916,0.1547070952
6/28/2023 6:00:00 PM,6/28/2023 2:00:00 PM,PJM-RTO,1,932.3612790142,0.0048073841,0.1675457506
6/28/2023 5:00:00 PM,6/28/2023 1:00:00 PM,PJM-RTO,1,1288.8296165392,0.1964497115,0.3828647888
6/28/2023 4:00:00 PM,6/28/2023 12:00:00 PM,PJM-RTO,1,1026.9624244425,0.0899825884,0.1105098881
6/28/2023 3:00:00 PM,6/28/2023 11:00:00 AM,PJM-RTO,1,918.7388799800,0.0046296117,0.2870132587
6/28/2023 2:00:00 PM,6/28/2023 10:00:00 AM,PJM-RTO,1,1070.1610950908,0.1347262550,0.2081679946
6/28/2023 1:00:00 PM,6/28/2023 9:00:00 AM,PJM-RTO,1,964.0148754250,0.0490024771,0.2782718168
6/28/2023 12:00:00 PM,6/28/2023 8:00:00 AM,PJM-RTO,1,869.0925352108,0.0042103995,0.0548664337
6/28/2023 11:00:00 AM,6/28/2023 7:00:00 AM,PJM-RTO,1,861.2674897683,0.0041575125,0.0556642315
6/28/2023 10:00:00 AM,6/28/2023 6:00:00 AM,PJM-RTO,1,849.1449100817,0.0043025190,0.0509757238
6/28/2023 9:00:00 AM,6/28/2023 5:00:00 AM,PJM-RTO,1,832.6209877883,0.0042145819,0.0564589349
6/28/2023 8:00:00 AM,6/28/2023 4:00:00 AM,PJM-RTO,1,954.1303854617,0.1187340114,0.1842374335
6/28/2023 7:00:00 AM,6/28/2023 3:00:00 AM,PJM-RTO,1,861.6291158433,0.0038659503,0.0633476483
6/28/2023 6:00:00 AM,6/28/2023 2:00:00 AM,PJM-RTO,1,1466.9753918733,0.5000581442,0.5646090758
6/28/2023 5:00:00 AM,6/28/2023 1:00:00 AM,PJM-RTO,1,1349.0310301175,0.4503876172,0.5750482582
6/28/2023 4:00:00 AM,6/28/2023 12:00:00 AM,PJM-RTO,1,1406.3610129642,0.5075197292,0.4236100958
6/28/2023 3:00:00 AM,6/27/2023 11:00:00 PM,PJM-RTO,1,1202.8326636242,0.1985985751,0.5728996313
6/28/2023 2:00:00 AM,6/27/2023 10:00:00 PM,PJM-RTO,1,1196.6581132867,0.2348660819,0.3600158584
6/28/2023 1:00:00 AM,6/27/2023 9:00:00 PM,PJM-RTO,1,1384.8572017342,0.3607953827,0.5279777949
6/28/2023 12:00:00 AM,6/27/2023 8:00:00 PM,PJM-RTO,1,1597.6543174658,0.5103583939,0.5927062282
6/27/2023 11:00:00 PM,6/27/2023 7:00:00 PM,PJM-RTO,1,1540.3984107591,0.6869484593,0.5381710420
6/27/2023 10:00:00 PM,6/27/2023 6:00:00 PM,PJM-RTO,1,1939.8329624192,0.9757074879,0.8732087131
6/27/2023 9:00:00 PM,6/27/2023 5:00:00 PM,PJM-RTO,1,1406.2722466117,0.5307947383,0.6603313803
6/27/2023 8:00:00 PM,6/27/2023 4:00:00 PM,PJM-RTO,1,1394.1032571442,0.6929151208,0.3658414098
6/27/2023 7:00:00 PM,6/27/2023 3:00:00 PM,PJM-RTO,1,1732.1354301117,0.7329011881,0.6640251862
6/27/2023 6:00:00 PM,6/27/2023 2:00:00 PM,PJM-RTO,1,1176.1901709558,0.3596695184,0.2284156171
6/27/2023 5:00:00 PM,6/27/2023 1:00:00 PM,PJM-RTO,1,826.1753005117,0.0041586211,0.0765317384
6/27/2023 4:00:00 PM,6/27/2023 12:00:00 PM,PJM-RTO,1,1050.7719006342,0.2397183797,0.3282945212
6/27/2023 3:00:00 PM,6/27/2023 11:00:00 AM,PJM-RTO,1,957.2401779892,0.0050484440,0.1731140738
6/27/2023 2:00:00 PM,6/27/2023 10:00:00 AM,PJM-RTO,1,1201.0520748533,0.3283669447,0.3586146937
6/27/2023 1:00:00 PM,6/27/2023 9:00:00 AM,PJM-RTO,1,913.1250093583,0.0124426983,0.3127933881
6/27/2023 12:00:00 PM,6/27/2023 8:00:00 AM,PJM-RTO,1,879.5756715475,0.0044547103,0.0640267341
6/27/2023 11:00:00 AM,6/27/2023 7:00:00 AM,PJM-RTO,1,863.3232822258,0.0069085963,0.1702752536
6/27/2023 10:00:00 AM,6/27/2023 6:00:00 AM,PJM-RTO,1,863.9712905625,0.0043705457,0.1532184557
6/27/2023 9:00:00 AM,6/27/2023 5:00:00 AM,PJM-RTO,1,1126.5530380750,0.2146138585,0.4202478430
6/27/2023 8:00:00 AM,6/27/2023 4:00:00 AM,PJM-RTO,1,913.2088742342,0.0046116053,0.2069257848
6/27/2023 7:00:00 AM,6/27/2023 3:00:00 AM,PJM-RTO,1,948.7759020917,0.1501519866,0.3232054208
6/27/2023 6:00:00 AM,6/27/2023 2:00:00 AM,PJM-RTO,1,1632.3911242958,1.2948895231,0.6218539234
6/27/2023 5:00:00 AM,6/27/2023 1:00:00 AM,PJM-RTO,1,1573.5102565575,0.5198645535,0.6059911720
6/27/2023 4:00:00 AM,6/27/2023 12:00:00 AM,PJM-RTO,1,1314.8628809258,0.3246780502,0.3788085878
6/27/2023 3:00:00 AM,6/26/2023 11:00:00 PM,PJM-RTO,1,1411.3715690683,0.6715121399,0.5960705835
6/27/2023 2:00:00 AM,6/26/2023 10:00:00 PM,PJM-RTO,1,1387.4181547117,0.6643744695,0.4689035601
6/27/2023 1:00:00 AM,6/26/2023 9:00:00 PM,PJM-RTO,1,1444.0500843042,0.6263637300,0.8923295812
6/27/2023 12:00:00 AM,6/26/2023 8:00:00 PM,PJM-RTO,1,1720.0257403000,0.8848155939,0.6424786759
6/26/2023 11:00:00 PM,6/26/2023 7:00:00 PM,PJM-RTO,1,1214.6046387033,0.0185435174,0.3715282125
6/26/2023 10:00:00 PM,6/26/2023 6:00:00 PM,PJM-RTO,1,1769.8758988957,0.2805557945,0.6898455671
6/26/2023 9:00:00 PM,6/26/2023 5:00:00 PM,PJM-RTO,1,1415.5180309417,0.4907149388,0.4410358925
6/26/2023 8:00:00 PM,6/26/2023 4:00:00 PM,PJM-RTO,1,1167.7318585525,0.0950599425,0.2945926970
6/26/2023 7:00:00 PM,6/26/2023 3:00:00 PM,PJM-RTO,1,1162.2086001358,0.0858054214,0.3880523497
6/26/2023 6:00:00 PM,6/26/2023 2:00:00 PM,PJM-RTO,1,957.4095352583,0.1085416272,0.2878866526
6/26/2023 5:00:00 PM,6/26/2023 1:00:00 PM,PJM-RTO,1,1096.4743550617,0.2896116066,0.2038198926
6/26/2023 4:00:00 PM,6/26/2023 12:00:00 PM,PJM-RTO,1,884.2407139617,0.0472965593,0.2938137030
6/26/2023 3:00:00 PM,6/26/2023 11:00:00 AM,PJM-RTO,1,1156.5905688667,0.4371390292,0.3164500626
6/26/2023 2:00:00 PM,6/26/2023 10:00:00 AM,PJM-RTO,1,1151.2311305908,0.2783550763,0.4002040795
6/26/2023 1:00:00 PM,6/26/2023 9:00:00 AM,PJM-RTO,1,846.3316758542,0.0045465452,0.1656461188
6/26/2023 12:00:00 PM,6/26/2023 8:00:00 AM,PJM-RTO,1,819.3954711100,0.0041546093,0.0528487012
6/26/2023 11:00:00 AM,6/26/2023 7:00:00 AM,PJM-RTO,1,839.3422985233,0.0042542834,0.0496673154
6/26/2023 10:00:00 AM,6/26/2023 6:00:00 AM,PJM-RTO,1,830.7360005508,0.0041896468,0.0549572931
6/26/2023 9:00:00 AM,6/26/2023 5:00:00 AM,PJM-RTO,1,847.5268359800,0.0042896193,0.1318376969
6/26/2023 8:00:00 AM,6/26/2023 4:00:00 AM,PJM-RTO,1,887.4490827158,0.0045478372,0.0740650466
6/26/2023 7:00:00 AM,6/26/2023 3:00:00 AM,PJM-RTO,1,1272.9785712692,0.3604223326,0.3427991726
6/26/2023 6:00:00 AM,6/26/2023 2:00:00 AM,PJM-RTO,1,1876.3676432950,0.9370185026,0.8077468967
6/26/2023 5:00:00 AM,6/26/2023 1:00:00 AM,PJM-RTO,1,1516.9919843617,0.2802202931,0.3058632502
6/26/2023 4:00:00 AM,6/26/2023 12:00:00 AM,PJM-RTO,1,921.9849773925,0.0641570082,0.2669751246
6/26/2023 3:00:00 AM,6/25/2023 11:00:00 PM,PJM-RTO,1,1157.3937574483,0.0813612838,0.5278598842
6/26/2023 2:00:00 AM,6/25/2023 10:00:00 PM,PJM-RTO,1,1515.8963123042,0.4008861658,0.7797286612
6/26/2023 1:00:00 AM,6/25/2023 9:00:00 PM,PJM-RTO,1,1306.7762268992,0.0871780028,0.4819955083
6/26/2023 12:00:00 AM,6/25/2023 8:00:00 PM,PJM-RTO,1,2145.4219208233,0.3233596890,0.7376612041
6/25/2023 11:00:00 PM,6/25/2023 7:00:00 PM,PJM-RTO,1,1405.0969188192,0.4606907272,0.5658270037
6/25/2023 10:00:00 PM,6/25/2023 6:00:00 PM,PJM-RTO,1,1229.4962264133,0.1315974066,0.7264635298
6/25/2023 9:00:00 PM,6/25/2023 5:00:00 PM,PJM-RTO,1,2156.3584918450,0.1892952587,0.4626569518
6/25/2023 8:00:00 PM,6/25/2023 4:00:00 PM,PJM-RTO,1,1164.6832184317,0.3936914569,0.3337788842
6/25/2023 7:00:00 PM,6/25/2023 3:00:00 PM,PJM-RTO,1,1403.4334924283,0.5903206877,0.5174116689
6/25/2023 6:00:00 PM,6/25/2023 2:00:00 PM,PJM-RTO,1,1150.9581922367,0.2735211145,0.3265366604
6/25/2023 5:00:00 PM,6/25/2023 1:00:00 PM,PJM-RTO,1,1423.8898977617,0.4156885283,0.4800485866
6/25/2023 4:00:00 PM,6/25/2023 12:00:00 PM,PJM-RTO,1,921.9262990333,0.1424456135,0.1102010205
6/25/2023 3:00:00 PM,6/25/2023 11:00:00 AM,PJM-RTO,1,826.1133901925,0.0041704620,0.0502729031
6/25/2023 2:00:00 PM,6/25/2023 10:00:00 AM,PJM-RTO,1,820.4619320800,0.0041625472,0.0503728099
6/25/2023 1:00:00 PM,6/25/2023 9:00:00 AM,PJM-RTO,1,823.5840690592,0.0041759223,0.0446007475
6/25/2023 12:00:00 PM,6/25/2023 8:00:00 AM,PJM-RTO,1,842.6059604008,0.0044103296,0.0507655752
6/25/2023 11:00:00 AM,6/25/2023 7:00:00 AM,PJM-RTO,1,856.5597118367,0.0042902456,0.0723918777
6/25/2023 10:00:00 AM,6/25/2023 6:00:00 AM,PJM-RTO,1,922.1573429142,0.0046400586,0.0559475670
6/25/2023 9:00:00 AM,6/25/2023 5:00:00 AM,PJM-RTO,1,808.1403788358,0.0039196763,0.0436204793
